"offense","relationship","count"
"1","Homosexual Relationship","12"
"1","Relationship Unknown","12933"
"1","Victim Was Acquaintance","22722"
"1","Victim Was Babysittee","306"
"1","Victim Was Boyfriend/Girlfriend","7816"
"1","Victim Was Child","6486"
"1","Victim Was Child of Boyfriend/Girlfriend","1494"
"1","Victim Was Common-Law Spouse","167"
"1","Victim was Employee","452"
"1","Victim was Employer","170"
"1","Victim Was Ex-Relationship","1575"
"1","Victim was Ex-Spouse","560"
"1","Victim Was Friend","7147"
"1","Victim Was Grandchild","1802"
"1","Victim Was Grandparent","40"
"1","Victim Was In-law","348"
"1","Victim Was Neighbor","1188"
"1","Victim Was Offender","262"
"1","Victim Was Other Family Member","7630"
"1","Victim was Otherwise Known","9261"
"1","Victim Was Parent","130"
"1","Victim Was Sibling","3273"
"1","Victim Was Spouse","1694"
"1","Victim Was Stepchild","3026"
"1","Victim Was Stepparent","653"
"1","Victim Was Stepsibling","1144"
"1","Victim Was Stranger","7038"
"2","Homosexual Relationship","1022"
"2","Relationship Unknown","77352"
"2","Victim Was Acquaintance","86135"
"2","Victim Was Babysittee","424"
"2","Victim Was Boyfriend/Girlfriend","271042"
"2","Victim Was Child","32631"
"2","Victim Was Child of Boyfriend/Girlfriend","4108"
"2","Victim Was Common-Law Spouse","12026"
"2","Victim was Employee","1686"
"2","Victim was Employer","775"
"2","Victim Was Ex-Relationship","26623"
"2","Victim was Ex-Spouse","14135"
"2","Victim Was Friend","19437"
"2","Victim Was Grandchild","1821"
"2","Victim Was Grandparent","5415"
"2","Victim Was In-law","5190"
"2","Victim Was Neighbor","11279"
"2","Victim Was Offender","43977"
"2","Victim Was Other Family Member","33299"
"2","Victim was Otherwise Known","72294"
"2","Victim Was Parent","56638"
"2","Victim Was Sibling","29520"
"2","Victim Was Spouse","95295"
"2","Victim Was Stepchild","3771"
"2","Victim Was Stepparent","2202"
"2","Victim Was Stepsibling","698"
"2","Victim Was Stranger","50129"
"3","Homosexual Relationship","2"
"3","Relationship Unknown","813"
"3","Victim Was Acquaintance","346"
"3","Victim Was Babysittee","5"
"3","Victim Was Boyfriend/Girlfriend","460"
"3","Victim Was Child","141"
"3","Victim Was Child of Boyfriend/Girlfriend","19"
"3","Victim Was Common-Law Spouse","21"
"3","Victim Was Ex-Relationship","58"
"3","Victim was Employee","0"
"3","Victim was Employer","0"
"3","Victim Was Ex-Relationship","0"
"3","Victim was Ex-Spouse","31"
"3","Victim Was Friend","84"
"3","Victim Was Grandchild","2"
"3","Victim Was Grandparent","20"
"3","Victim Was In-law","19"
"3","Victim Was Neighbor","34"
"3","Victim Was Offender","13"
"3","Victim Was Other Family Member","75"
"3","Victim was Otherwise Known","171"
"3","Victim Was Parent","131"
"3","Victim Was Sibling","44"
"3","Victim Was Spouse","301"
"3","Victim Was Stepchild","16"
"3","Victim Was Stepparent","7"
"3","Victim Was Stranger","390"
